source1_entity_id	s1_name	s1_normalized_name	s1_address	s1_country	matched_entity_id	matched_name	matched_normalized_name	matched_address	matched_country
S1-535303182	Raviam Education Private Limited	raviam education private limited	Bc 21/7 Deshbandhu Nagar, Baguihati Lp 14/6/3, Kolkata, Kolkata, Howrah, West Bengal	India	S2-581687268	RAVIAM PRIVATE LIMITED CENTER	raviam private limited center	BC 21/7 DESHBANDHU NAGAR, BAGUIHATI LP 14/6/3, KOLKATA, KOLKATA, পশ্চিমবঙ্গ	India
S1-693925013	Super Marketing Private Limited	super marketing private limited	No.6/36, 2Nd Floor, Jagannathan Illam Nh 3, Silapathikaram Street, Maraimalain, Agar, Kanchipuram, Kancheepuram, Tamil Nadu	India	S3-390208515	Super Marketing Privgatie Limited	super marketing privgatie limited	No.6/36, Kanchipuram, Kancheepuram, TN	India
S1-573933369	Yocum and Barker LLC	yocum and barker llc	Waltham, 99 Moody Street, Unit 3, MA	US	S3-806531156	L.L.C. Yocum and Barker	l l c yocum and barker	99B Moody St, # 3, Waltham, Massachusetts	US
S1-613947897	Kanya Packer Desert Semiconductor LLC	kanya packer desert semiconductor llc	10868 450, Peru, IN	US	S2-812147161	Kanya Desert Packer Semiconductor LLC	kanya desert packer semiconductor llc	10868 450, PO BOX 2643, PERU, IN	US
S1-268455095	New Delhi Dew Private Limited	new delhi dew private limited	C-47, C Block Defence Col, Near Ram Mandir, New Delhi, South Delhi, Delhi	India	S2-41499295	New Delhi Dew	new delhi dew	C-47, C BLOCK DEFENCE COL, NEAR RAM MANDIR, NEW DELHI, Delhi	India
S1-46933702	Dougherty Regional Inc	dougherty regional inc	14780 Osprey Drive, Unit #280, Beaverton, OR	US	S3-992582332	... Dougherty Regional Incorporated	dougherty regional incorporated	14780 Osprey Dr, # #280, Beaverton, Oregon	US
S1-829677470	Pittsylvania County Tactical LP	pittsylvania county tactical lp	608 Parker Road, Pittsylvania County, VA	US	S3-347286363	Pittsylvania Tactical County [LP]	pittsylvania tactical county lp	Parker Rd, Danville, Virginia	US
S1-431584769	Varma Colombier, Inc	varma colombier inc	216 Fallow Buck Court, Conroe, TX	US	S3-693962499	Varma	varma	216 Fallow Buck Court, Conroe, TX	US
S1-626736751	Epstein, Mcmahon & Kirkman Apple Inc.	epstein mcmahon kirkman apple inc	7544 Haney Road, NY, Van Buren	US	S3-728591621	Epstein Apple	epstein apple	7544 Haney Road, NY, Van Buren	US
S1-728441840	Sapphire Corp	sapphire corp	Fairfield, CA, 3800 Poppy Hills Court	US	S2-979947539	Sapphire Córp	sapphire córp	POPPY HILLS CT, FAIRFIELD, CA	US
S1-450682781	Tirupati Hitech Consultancy Private Limited	tirupati hitech consultancy private limited	93/2 Gangai Amman Koil Street, Trichy Main Road Vazhuthareddy, Villupuram, Tamil Nadu	India	S2-993087326	திருப்பதி ஹைடெக் கன்சல்டன்சி பிரைவேட் லிமிடெட்	த ர ப பத ஹ ட க கன சல டன ச ப ர வ ட ல ம ட ட	93/2 GANGAI AMMAN KOIL STREET, TRICHY MAIN ROAD VAZHUTHAREDDY, VILLUPURAM, தமிழ்நாடு	India
